player_id,player_name,player_nickname,country,team__id,season_id
2994,Abdoulaye Diallo,,"{'id': 202, 'name': 'Senegal'}",134,"{'season_id': 27, 'season_name': '2015/2016'}"
2994,Abdoulaye Diallo,,"{'id': 202, 'name': 'Senegal'}",787,"{'season_id': 3, 'season_name': '2018'}"
2995,Ángel Fabián Di María Hernández,Ángel Di María,"{'id': 11, 'name': 'Argentina'}",220,"{'season_id': 22, 'season_name': '2010/2011'}"
2995,Ángel Fabián Di María Hernández,Ángel Di María,"{'id': 11, 'name': 'Argentina'}",779,"{'season_id': 3, 'season_name': '2018'}"
2995,Ángel Fabián Di María Hernández,Ángel Di María,"{'id': 11, 'name': 'Argentina'}",220,"{'season_id': 24, 'season_name': '2012/2013'}"
2995,Ángel Fabián Di María Hernández,Ángel Di María,"{'id': 11, 'name': 'Argentina'}",220,"{'season_id': 23, 'season_name': '2011/2012'}"
2995,Ángel Fabián Di María Hernández,Ángel Di María,"{'id': 11, 'name': 'Argentina'}",131,"{'season_id': 27, 'season_name': '2015/2016'}"
2995,Ángel Fabián Di María Hernández,Ángel Di María,"{'id': 11, 'name': 'Argentina'}",220,"{'season_id': 25, 'season_name': '2013/2014'}"
2995,Ángel Fabián Di María Hernández,Ángel Di María,"{'id': 11, 'name': 'Argentina'}",779,"{'season_id': 106, 'season_name': '2022'}"
2999,Presnel Kimpembe,,"{'id': 78, 'name': 'France'}",771,"{'season_id': 3, 'season_name': '2018'}"
2999,Presnel Kimpembe,,"{'id': 78, 'name': 'France'}",131,"{'season_id': 27, 'season_name': '2015/2016'}"
2999,Presnel Kimpembe,,"{'id': 78, 'name': 'France'}",771,"{'season_id': 43, 'season_name': '2020'}"
3002,Benjamin Nivet,,"{'id': 78, 'name': 'France'}",133,"{'season_id': 27, 'season_name': '2015/2016'}"
3004,Oswaldo Augusto Vizcarrondo Araújo,Oswaldo Vizcarrondo,"{'id': 246, 'name': 'Venezuela\xa0(Bolivarian Republic)'}",144,"{'season_id': 27, 'season_name': '2015/2016'}"
3005,Ezequiel Ponce Martínez,Ezequiel Ponce,"{'id': 11, 'name': 'Argentina'}",229,"{'season_id': 27, 'season_name': '2015/2016'}"
3008,Benjamin Lecomte,,"{'id': 78, 'name': 'France'}",165,"{'season_id': 27, 'season_name': '2015/2016'}"
3009,Kylian Mbappé Lottin,Kylian Mbappé,"{'id': 78, 'name': 'France'}",771,"{'season_id': 43, 'season_name': '2020'}"
3009,Kylian Mbappé Lottin,Kylian Mbappé,"{'id': 78, 'name': 'France'}",129,"{'season_id': 27, 'season_name': '2015/2016'}"
3009,Kylian Mbappé Lottin,Kylian Mbappé,"{'id': 78, 'name': 'France'}",771,"{'season_id': 106, 'season_name': '2022'}"
3009,Kylian Mbappé Lottin,Kylian Mbappé,"{'id': 78, 'name': 'France'}",771,"{'season_id': 3, 'season_name': '2018'}"
3010,Corentin Jean,,"{'id': 78, 'name': 'France'}",133,"{'season_id': 27, 'season_name': '2015/2016'}"
3011,Daniel Congré,,"{'id': 78, 'name': 'France'}",139,"{'season_id': 27, 'season_name': '2015/2016'}"
3016,Allan Saint-Maximin,,"{'id': 78, 'name': 'France'}",178,"{'season_id': 27, 'season_name': '2015/2016'}"
3018,Giovanni-Guy Yann Sio,Giovanni Sio,"{'id': 55, 'name': ""Côte d'Ivoire""}",134,"{'season_id': 27, 'season_name': '2015/2016'}"
