,home_formation,home_position,away_formation,away_position,minute,ball_possession,home_goal
5899,4411,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 19, 23]",3412,"[1, 3, 4, 5, 7, 8, 9, 11, 19, 22, 24]",0,0.5993953136810279,1
5900,4411,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 19, 23]",433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",35,0.3717277486910995,0
5901,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",0,0.4997251236943375,2
5902,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",45,0.6684491978609626,-1
5903,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",56,0.5022189349112426,0
5904,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",41212,"[1, 2, 3, 5, 6, 10, 13, 15, 19, 22, 24]",0,0.43683651804670914,0
5905,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",41212,"[1, 2, 3, 5, 6, 10, 13, 15, 19, 22, 24]",47,0.5315315315315315,0
5906,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",41212,"[1, 2, 3, 5, 6, 10, 13, 15, 19, 22, 24]",52,0.4704918032786885,-1
5907,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",41212,"[1, 2, 3, 5, 6, 10, 13, 15, 19, 22, 24]",68,0.46070460704607047,0
5908,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.4505363528009535,2
5909,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",0,0.6662087912087912,1
5910,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",56,0.5428571428571428,0
5911,433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.49875776397515525,0
5912,433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",41,0.4839939024390244,0
5913,433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",71,0.6465968586387435,-1
5914,442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",0,0.4878048780487805,0
5915,41212,"[1, 2, 3, 5, 6, 10, 13, 15, 19, 22, 24]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",45,1.0,0
5916,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",45,1.0,0
5917,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",45,0.5494252873563218,1
5918,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",60,0.632,0
5919,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",74,0.15027322404371585,-2
5920,4411,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 19, 23]",433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",0,0.5140229885057471,1
5921,4411,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 19, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",58,0.4991735537190083,-2
5922,4411,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 19, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",75,1.0,0
5923,4411,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 19, 23]",4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",76,0.4444444444444444,0
5924,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",0,0.36046511627906974,0
5925,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",4,0.3611859838274933,1
5926,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",24,0.4000991571641051,0
5927,433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",0,0.5269000853970965,0
5928,433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",24,0.4795539033457249,0
5929,433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",45,0.37328094302554027,0
5930,4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",442,"[1, 2, 3, 5, 6, 11, 12, 13, 16, 22, 24]",0,0.576018549188473,1
5931,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",0,0.6533018867924528,0
5932,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",0,0.6111845002201673,-2
5933,4231,"[1, 2, 3, 5, 6, 9, 11, 17, 19, 21, 23]",433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",59,0.7396226415094339,0
5934,442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",433,"[1, 2, 3, 5, 6, 10, 13, 15, 17, 21, 23]",0,0.5360127337843216,0
5935,4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",4231,"[1, 2, 3, 5, 6, 13, 15, 17, 19, 21, 23]",0,0.5320735952262556,1
5936,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",451,"[1, 2, 3, 5, 6, 10, 12, 13, 15, 16, 23]",0,0.642395372575706,2
5937,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",4411,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 19, 23]",0,0.47539320142059865,1
5938,442,"[1, 2, 3, 5, 6, 12, 13, 15, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",0,0.664976335361731,1
5939,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",0,0.4235234729934377,-3
5940,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",45,0.5,-1
5941,442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",442,"[1, 2, 3, 5, 6, 9, 11, 12, 16, 22, 24]",0,0.5689332501559575,-3
